molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy,converged,source
H2,0.5,FCI,-1.1884595209700373,0.0,True,True,synthetic
H2,0.5,UCCSD,-1.1884594748955442,4.6074493109671266e-08,True,True,synthetic
H2,0.5,EfficientSU2,-1.1884594639381607,5.7031876554702876e-08,True,True,synthetic
H2,0.6,FCI,-1.0068357436586033,0.0,True,True,synthetic
H2,0.6,UCCSD,-1.0068357060504867,3.760811662090191e-08,True,True,synthetic
H2,0.6,EfficientSU2,-1.0068354232002434,3.204583598481747e-07,True,True,synthetic
H2,0.7,FCI,-0.8747272931089937,0.0,True,True,synthetic
H2,0.7,UCCSD,-0.8747272399851883,5.3123805354715614e-08,True,True,synthetic
H2,0.7,EfficientSU2,-0.8747271587280238,1.3438096990725512e-07,True,True,synthetic
H2,0.8,FCI,-0.7741471707043215,0.0,True,True,synthetic
H2,0.8,UCCSD,-0.7741471045895938,6.611472769257887e-08,True,True,synthetic
H2,0.8,EfficientSU2,-0.7741470672821775,1.0342214395997473e-07,True,True,synthetic
H2,0.9,FCI,-0.6949143008765725,0.0,True,True,synthetic
H2,0.9,UCCSD,-0.6949139055889505,3.952876219681656e-07,True,True,synthetic
H2,0.9,EfficientSU2,-0.6949138985911886,4.022853838936413e-07,True,True,synthetic
H2,1.0,FCI,-0.6308237234452461,0.0,True,True,synthetic
H2,1.0,UCCSD,-0.6308236221660342,1.0127921190594691e-07,True,True,synthetic
H2,1.0,EfficientSU2,-0.6308236529829063,7.046233974072891e-08,True,True,synthetic
H2,1.1,FCI,-0.5778734426397805,0.0,True,True,synthetic
H2,1.1,UCCSD,-0.5778732928989736,1.4974080686513958e-07,True,True,synthetic
H2,1.1,EfficientSU2,-0.5778732288521402,2.1378764025747898e-07,True,True,synthetic
H2,1.2,FCI,-0.5333639569472142,0.0,True,True,synthetic
H2,1.2,UCCSD,-0.5333636519258272,3.0502138692600766e-07,True,True,synthetic
H2,1.2,EfficientSU2,-0.5333635168730811,4.4007413302349363e-07,True,True,synthetic
H2,1.3,FCI,-0.4954068275794362,0.0,True,True,synthetic
H2,1.3,UCCSD,-0.49540631330343254,5.142760036713767e-07,True,True,synthetic
H2,1.3,EfficientSU2,-0.4954061243519464,7.032274897955659e-07,True,True,synthetic
H2,1.4,FCI,-0.46264052025876495,0.0,True,True,synthetic
H2,1.4,UCCSD,-0.4626404405211499,7.973761506629984e-08,True,True,synthetic
H2,1.4,EfficientSU2,-0.4626403271768023,1.930819626405622e-07,True,True,synthetic
H2,1.5,FCI,-0.434058103983263,0.0,True,True,synthetic
H2,1.5,UCCSD,-0.43405791481576456,1.8916749844333225e-07,True,True,synthetic
H2,1.5,EfficientSU2,-0.4340577758283562,3.281549068034906e-07,True,True,synthetic
H2,1.6,FCI,-0.4088985354668997,0.0,True,True,synthetic
H2,1.6,UCCSD,-0.40889821268796667,3.227789330262354e-07,True,True,synthetic
H2,1.6,EfficientSU2,-0.408898053466095,4.820008047135005e-07,True,True,synthetic
H2,1.7,FCI,-0.38657570412937536,0.0,True,True,synthetic
H2,1.7,UCCSD,-0.38657523543493566,4.686944397036541e-07,True,True,synthetic
H2,1.7,EfficientSU2,-0.3865750601693835,6.43959991886156e-07,True,True,synthetic
H2,1.8,FCI,-0.3666307535201358,0.0,True,True,synthetic
H2,1.8,UCCSD,-0.36663056714581393,1.8637432186441316e-07,True,True,synthetic
H2,1.8,EfficientSU2,-0.36663072353640686,2.998372894413848e-08,True,True,synthetic
H2,1.9,FCI,-0.34869922075961085,0.0,True,True,synthetic
H2,1.9,UCCSD,-0.34869919996411,2.0795500876857886e-08,True,True,synthetic
H2,1.9,EfficientSU2,-0.34869920920425695,1.1555353895964515e-08,True,True,synthetic
H2,2.0,FCI,-0.33248787846472927,0.0,True,True,synthetic
H2,2.0,UCCSD,-0.33248785921217716,1.9252552108106613e-08,True,True,synthetic
H2,2.0,EfficientSU2,-0.3324878542299765,2.4234752760143863e-08,True,True,synthetic
H2,2.1,FCI,-0.31775808907250724,0.0,True,True,synthetic
H2,2.1,UCCSD,-0.3177580888565382,2.159690204450726e-10,True,True,synthetic
H2,2.1,EfficientSU2,-0.3177578407476901,2.483248171536445e-07,True,True,synthetic
H2,2.2,FCI,-0.3043136276243429,0.0,True,True,synthetic
H2,2.2,UCCSD,-0.30431362204614665,5.578196238253952e-09,True,True,synthetic
H2,2.2,EfficientSU2,-0.30431361896688747,8.657455419225357e-09,True,True,synthetic
H2,2.3,FCI,-0.2919916315069713,0.0,True,True,synthetic
H2,2.3,UCCSD,-0.2919914759474613,1.5555951005108426e-07,True,True,synthetic
H2,2.3,EfficientSU2,-0.29199161995012596,1.1556845369575797e-08,True,True,synthetic
H2,2.4,FCI,-0.28065577747312254,0.0,True,True,synthetic
H2,2.4,UCCSD,-0.28065541569827857,3.617748439710411e-07,True,True,synthetic
H2,2.4,EfficientSU2,-0.2806556823144638,9.515865873055418e-08,True,True,synthetic
H2,2.5,FCI,-0.27019107072830123,0.0,True,True,synthetic
H2,2.5,UCCSD,-0.2701910252020527,4.55262485488106e-08,True,True,synthetic
H2,2.5,EfficientSU2,-0.27019106752167754,3.206623688800647e-09,True,True,synthetic
