molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
LiH,1.0,Exact,-0.7511501193056095,0.0,True
LiH,1.0,UCCSD,-0.7510691644824742,8.095482313530411e-05,True
LiH,1.0,EfficientSU2,-0.7483996886171219,0.0027504306884875707,False
LiH,1.1,Exact,-0.6896835394127739,0.0,True
LiH,1.1,UCCSD,-0.6896228774901522,6.066192262177417e-05,True
LiH,1.1,EfficientSU2,-0.6864535770777273,0.0032299623350466877,False
LiH,1.2,Exact,-0.6378653163676746,0.0,True
LiH,1.2,UCCSD,-0.6378034723564139,6.184401126074768e-05,True
LiH,1.2,EfficientSU2,-0.637797559749119,6.775661855562554e-05,True
LiH,1.3,Exact,-0.5935611207032713,0.0,True
LiH,1.3,UCCSD,-0.5935057212403904,5.53994628809118e-05,True
LiH,1.3,EfficientSU2,-0.589156773936191,0.004404346767080236,False
LiH,1.4,Exact,-0.5552268043917048,0.0,True
LiH,1.4,UCCSD,-0.5549980394965335,0.00022876489517131837,True
LiH,1.4,EfficientSU2,-0.5550464133096095,0.0001803910820953325,True
LiH,1.5,Exact,-0.5217168465185117,0.0,True
LiH,1.5,UCCSD,-0.521661315967427,5.5530551084648216e-05,True
LiH,1.5,EfficientSU2,-0.5216107278517995,0.00010611866671217385,True
LiH,1.6,Exact,-0.49216303767232317,0.0,True
LiH,1.6,UCCSD,-0.49213488842439124,2.8149247931930077e-05,True
LiH,1.6,EfficientSU2,-0.49159618487600226,0.0005668527963209047,True
LiH,1.7,Exact,-0.465895035577378,0.0,True
LiH,1.7,UCCSD,-0.46570432827337027,0.00019070730400772007,True
LiH,1.7,EfficientSU2,-0.46588386317840724,1.1172398970749065e-05,True
LiH,1.8,Exact,-0.44238681991829154,0.0,True
LiH,1.8,UCCSD,-0.4423612023607218,2.561755756974593e-05,True
LiH,1.8,EfficientSU2,-0.4422668255172364,0.0001199944010551457,True
LiH,1.9,Exact,-0.421219686283173,0.0,True
LiH,1.9,UCCSD,-0.4211795646253522,4.0121657820801904e-05,True
LiH,1.9,EfficientSU2,-0.42111027104963433,0.00010941523353868998,True
LiH,2.0,Exact,-0.40205610035678396,0.0,True
LiH,2.0,UCCSD,-0.40203299314553265,2.310721125131643e-05,True
LiH,2.0,EfficientSU2,-0.4020186962162894,3.7404140494579075e-05,True
LiH,2.1,Exact,-0.3846208606733503,0.0,True
LiH,2.1,UCCSD,-0.3846019547720762,1.890590127406888e-05,True
LiH,2.1,EfficientSU2,-0.38460901415591253,1.1846517437741344e-05,True
LiH,2.2,Exact,-0.3686872882195087,0.0,True
LiH,2.2,UCCSD,-0.3686280530164415,5.923520306716501e-05,True
LiH,2.2,EfficientSU2,-0.1789860733137127,0.189701214905796,False
LiH,2.3,Exact,-0.3540669416237549,0.0,True
LiH,2.3,UCCSD,-0.24923349556888919,0.10483344605486572,False
LiH,2.3,EfficientSU2,-0.2750337573831985,0.07903318424055639,False
LiH,2.4,Exact,-0.34060184880237476,0.0,True
LiH,2.4,UCCSD,-0.3405559271585126,4.592164386219011e-05,True
LiH,2.4,EfficientSU2,-0.34059342486894745,8.423933427315067e-06,True
LiH,2.5,Exact,-0.32815856352594713,0.0,True
LiH,2.5,UCCSD,-0.32812102169004037,3.754183590676252e-05,True
LiH,2.5,EfficientSU2,-0.327787314667883,0.00037124885806411045,True
LiH,2.6,Exact,-0.31662356465420805,0.0,True
LiH,2.6,UCCSD,-0.3165702339207083,5.3330733499723504e-05,True
LiH,2.6,EfficientSU2,-0.29798061463952435,0.01864295001468369,False
LiH,2.7,Exact,-0.30589965633798744,0.0,True
LiH,2.7,UCCSD,-0.30586298340245466,3.667293553277773e-05,True
LiH,2.7,EfficientSU2,-0.3044577371707649,0.0014419191672225273,True
LiH,2.8,Exact,-0.2959031235244675,0.0,True
LiH,2.8,UCCSD,-0.29589856324054326,4.560283924259778e-06,True
LiH,2.8,EfficientSU2,-0.2955198503217471,0.0003832732027204133,True
LiH,2.9,Exact,-0.28656146377113906,0.0,True
LiH,2.9,UCCSD,-0.28655126465239883,1.0199118740228386e-05,True
LiH,2.9,EfficientSU2,-0.28650017725444477,6.128651669429219e-05,True
LiH,3.0,Exact,-0.2778115633340573,0.0,True
LiH,3.0,UCCSD,-0.2777306765677464,8.088676631090586e-05,True
LiH,3.0,EfficientSU2,-0.26462747057275143,0.013184092761305888,False
LiH,3.1,Exact,-0.26959821902072306,0.0,True
LiH,3.1,UCCSD,-0.26959777613452013,4.428862029337566e-07,True
LiH,3.1,EfficientSU2,-0.2694981329546075,0.0001000860661155567,True
LiH,3.2,Exact,-0.2618729315304072,0.0,True
LiH,3.2,UCCSD,-0.26181081368177034,6.211784863685565e-05,True
LiH,3.2,EfficientSU2,-0.2618245782369116,4.835329349561768e-05,True
LiH,3.3,Exact,-0.2545929137237401,0.0,True
LiH,3.3,UCCSD,-0.2545623896490648,3.052407467529772e-05,True
LiH,3.3,EfficientSU2,-0.2545313223320532,6.15913916868771e-05,True
LiH,3.4,Exact,-0.24772027035946415,0.0,True
LiH,3.4,UCCSD,-0.24769850891896117,2.176144050297646e-05,True
LiH,3.4,EfficientSU2,-0.24771783845631107,2.431903153077286e-06,True
LiH,3.5,Exact,-0.241221315613079,0.0,True
LiH,3.5,UCCSD,-0.125481852995039,0.11573946261804,False
LiH,3.5,EfficientSU2,-0.24120684122488265,1.4474388196350496e-05,True
