molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
H2,0.5,Exact,-1.1884595209700346,0.0,True
H2,0.5,UCCSD,-1.1884595209590119,1.1022738277688404e-11,True
H2,0.5,EfficientSU2,-1.1884595165628324,4.407202158773771e-09,True
H2,0.6,Exact,-1.0068357436586048,0.0,True
H2,0.6,UCCSD,-1.0068356879181732,5.574043160372355e-08,True
H2,0.6,EfficientSU2,-1.0068355396693167,2.0398928812781492e-07,True
H2,0.7,Exact,-0.8747272931089914,0.0,True
H2,0.7,UCCSD,-0.8747272390785129,5.403047853569376e-08,True
H2,0.7,EfficientSU2,-0.8747269718226803,3.212863111112796e-07,True
H2,0.8,Exact,-0.774147170704321,0.0,True
H2,0.8,UCCSD,-0.7741470874527332,8.325158784572295e-08,True
H2,0.8,EfficientSU2,-0.77414704404258,1.2666174109554618e-07,True
H2,0.9,Exact,-0.6949143008765745,0.0,True
H2,0.9,UCCSD,-0.6949141663415735,1.3453500091742399e-07,True
H2,0.9,EfficientSU2,-0.6949138888518384,4.1202473610724155e-07,True
H2,1.0,Exact,-0.6308237234452476,0.0,True
H2,1.0,UCCSD,-0.6308235745124309,1.4893281674588366e-07,True
H2,1.0,EfficientSU2,-0.6308228907511912,8.326940563740948e-07,True
H2,1.1,Exact,-0.5778734426397816,0.0,True
H2,1.1,UCCSD,-0.5778731232971512,3.1934263033939203e-07,True
H2,1.1,EfficientSU2,-0.577873123167745,3.194720366028747e-07,True
H2,1.2,Exact,-0.5333639569472144,0.0,True
H2,1.2,UCCSD,-0.5333633917386835,5.652085308671673e-07,True
H2,1.2,EfficientSU2,-0.5333634112841822,5.456630322031586e-07,True
H2,1.3,Exact,-0.4954068275794382,0.0,True
H2,1.3,UCCSD,-0.49540676324880006,6.43306381498121e-08,True
H2,1.3,EfficientSU2,-0.4954060195494169,8.08030021337558e-07,True
H2,1.4,Exact,-0.4626405202587644,0.0,True
H2,1.4,UCCSD,-0.46264033780926345,1.8244950095169798e-07,True
H2,1.4,EfficientSU2,-0.46263943909010957,1.0811686548262145e-06,True
H2,1.5,Exact,-0.4340581039832628,0.0,True
H2,1.5,UCCSD,-0.434057771363692,3.3261957077534987e-07,True
H2,1.5,EfficientSU2,-0.4340575786966611,5.252866016602908e-07,True
H2,1.6,Exact,-0.40889853546689925,0.0,True
H2,1.6,UCCSD,-0.40889803674629965,4.987205995954369e-07,True
H2,1.6,EfficientSU2,-0.4088978410539593,6.944129399277799e-07,True
H2,1.7,Exact,-0.38657570412937603,0.0,True
H2,1.7,UCCSD,-0.38657503342078625,6.707085897783571e-07,True
H2,1.7,EfficientSU2,-0.38657483600214126,8.681272347654811e-07,True
H2,1.8,Exact,-0.36663075352013536,0.0,True
H2,1.8,UCCSD,-0.3666299111809213,8.42339214046639e-07,True
H2,1.8,EfficientSU2,-0.3666297130118111,1.0405083242792657e-06,True
H2,1.9,Exact,-0.3486992207596101,0.0,True
H2,1.9,UCCSD,-0.3486989802946197,2.4046499036423086e-07,True
H2,1.9,EfficientSU2,-0.34869801279619356,1.2079634165163e-06,True
H2,2.0,Exact,-0.3324878784647288,0.0,True
H2,2.0,UCCSD,-0.3324875474655098,3.3099921903367857e-07,True
H2,2.0,EfficientSU2,-0.33248651007499086,1.368389737965714e-06,True
H2,2.1,Exact,-0.31775808907250636,0.0,True
H2,2.1,UCCSD,-0.317757663023182,4.260493243757324e-07,True
H2,2.1,EfficientSU2,-0.3177565684284107,1.520644095642787e-06,True
H2,2.2,Exact,-0.3043136276243438,0.0,True
H2,2.2,UCCSD,-0.3043131048248857,5.227994580581097e-07,True
H2,2.2,EfficientSU2,-0.304311963422211,1.6642021327673007e-06,True
H2,2.3,Exact,-0.29199163150697166,0.0,True
H2,2.3,UCCSD,-0.2919910122035843,6.193033873502785e-07,True
H2,2.3,EfficientSU2,-0.29198983257024397,1.7989367276927126e-06,True
H2,2.4,Exact,-0.280655777473122,0.0,True
H2,2.4,UCCSD,-0.28065506324486145,7.142282605343553e-07,True
H2,2.4,EfficientSU2,-0.2806547075816255,1.0698914965079354e-06,True
H2,2.5,Exact,-0.270191070728301,0.0,True
H2,2.5,UCCSD,-0.2701902640515691,8.066767319125923e-07,True
H2,2.5,EfficientSU2,-0.27018990338795673,1.1673403442769015e-06,True
