split,family,seed,method,approximation_ratio,cut_value,optimal_value,runtime_sec,depth,n_nodes,n_edges,objective_std,objective_stderr,n_initial_points,maxiter,n_objective_evaluations,budget_reference
evaluation,communication_mesh_8_3,404,exact,1.0,5.719413959949646,5.719413959949646,0.002783060073852539,0,8,18,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,404,qaoa_tuned,0.8347739464694367,4.774417762839555,5.719413959949646,1.0004150867462158,2,8,18,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,404,greedy,1.0,5.719413959949646,5.719413959949646,0.0004315376281738281,0,8,18,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,404,local_search,0.9999999999999999,5.719413959949645,5.719413959949646,0.0006376999663189054,0,8,18,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,404,random_cut,0.9783487255667023,5.595581358705142,5.719413959949646,0.002010822296142578,0,8,18,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,404,goemans_williamson,1.0,5.719413959949646,5.719413959949646,0.3450958728790283,0,8,18,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,404,random_budget_matched,0.8950622119494167,5.119231310046903,5.719413959949646,0.0012323856353759766,0,8,18,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,404,hill_climb_budget_matched,0.978348725566702,5.595581358705141,5.719413959949646,0.0005881786346435547,0,8,18,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,505,exact,1.0,4.7600651526703155,4.7600651526703155,0.0024595260620117188,0,8,15,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,505,qaoa_tuned,0.7170876317855633,3.4133838474733427,4.7600651526703155,0.9183385372161865,2,8,15,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,505,greedy,0.9405399719967632,4.477031545395307,4.7600651526703155,0.0005550384521484375,0,8,15,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,505,local_search,0.9405399719967632,4.477031545395307,4.7600651526703155,0.0005314999725669622,0,8,15,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,505,random_cut,1.0,4.7600651526703155,4.7600651526703155,0.0019016265869140625,0,8,15,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,505,goemans_williamson,1.0,4.7600651526703155,4.7600651526703155,0.016526222229003906,0,8,15,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,505,random_budget_matched,1.0,4.7600651526703155,4.7600651526703155,0.0012052059173583984,0,8,15,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,505,hill_climb_budget_matched,1.0,4.7600651526703155,4.7600651526703155,0.0005030632019042969,0,8,15,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,606,exact,1.0,5.005728166017719,5.005728166017719,0.0026810169219970703,0,8,17,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,606,qaoa_tuned,0.8810832816537771,4.410463399581635,5.005728166017719,0.9651455879211426,2,8,17,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,606,greedy,0.9952588544144201,4.981995280020791,5.005728166017719,0.0006048679351806641,0,8,17,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,606,local_search,0.9952588544144202,4.981995280020792,5.005728166017719,0.0005524000152945518,0,8,17,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,606,random_cut,0.933415497890663,4.672424248388745,5.005728166017719,0.0018894672393798828,0,8,17,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,606,goemans_williamson,1.0,5.005728166017719,5.005728166017719,0.015195846557617188,0,8,17,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,606,random_budget_matched,1.0,5.005728166017719,5.005728166017719,0.0012125968933105469,0,8,17,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,606,hill_climb_budget_matched,0.9952588544144202,4.981995280020792,5.005728166017719,0.0004951953887939453,0,8,17,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,707,exact,1.0,4.7730011408181054,4.7730011408181054,0.002296924591064453,0,8,15,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,707,qaoa_tuned,0.6779720103887104,3.235961179028059,4.7730011408181054,0.9104979038238525,2,8,15,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,707,greedy,1.0,4.7730011408181054,4.7730011408181054,0.0005595684051513672,0,8,15,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,707,local_search,1.0,4.7730011408181054,4.7730011408181054,0.00038059998769313097,0,8,15,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,707,random_cut,0.8124326600382317,3.877742013200368,4.7730011408181054,0.001834869384765625,0,8,15,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,707,goemans_williamson,1.0,4.7730011408181054,4.7730011408181054,0.016486644744873047,0,8,15,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,707,random_budget_matched,0.8963681396738055,4.278366153256076,4.7730011408181054,0.0011992454528808594,0,8,15,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,707,hill_climb_budget_matched,1.0,4.7730011408181054,4.7730011408181054,0.0004839897155761719,0,8,15,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,808,exact,1.0,4.103486755833868,4.103486755833868,0.0025353431701660156,0,8,16,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,808,qaoa_tuned,0.8762768784593757,3.5957905652014923,4.103486755833868,0.972001314163208,2,8,16,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,808,greedy,0.9997080819113234,4.102288873823195,4.103486755833868,0.0007300376892089844,0,8,16,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,808,local_search,0.9997080819113237,4.102288873823196,4.103486755833868,0.00038189999759197235,0,8,16,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,808,random_cut,0.9642525589636205,3.956797604986132,4.103486755833868,0.0019037723541259766,0,8,16,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,808,goemans_williamson,0.9997080819113234,4.102288873823195,4.103486755833868,0.020404815673828125,0,8,16,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,808,random_budget_matched,0.9997080819113234,4.102288873823195,4.103486755833868,0.0012049674987792969,0,8,16,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,808,hill_climb_budget_matched,1.0,4.103486755833869,4.103486755833868,0.0005147457122802734,0,8,16,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,909,exact,1.0,5.361419403837881,5.361419403837881,0.002652406692504883,0,8,17,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,909,qaoa_tuned,0.8342106194847572,4.472553002193196,5.361419403837881,1.07204008102417,2,8,17,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,909,greedy,0.9723828737317306,5.21335240718494,5.361419403837881,0.0004177093505859375,0,8,17,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,909,local_search,1.0,5.361419403837881,5.361419403837881,0.00042979989666491747,0,8,17,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,909,random_cut,0.9723828737317306,5.21335240718494,5.361419403837881,0.0020294189453125,0,8,17,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,909,goemans_williamson,1.0,5.361419403837881,5.361419403837881,0.016445159912109375,0,8,17,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,909,random_budget_matched,1.0,5.361419403837881,5.361419403837881,0.0013289451599121094,0,8,17,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,909,hill_climb_budget_matched,1.0,5.361419403837881,5.361419403837881,0.0005714893341064453,0,8,17,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,1001,exact,1.0,5.314590018630691,5.314590018630691,0.0025358200073242188,0,8,16,0.0,0.0,,,256.0,classical_exact
evaluation,communication_mesh_8_3,1001,qaoa_tuned,0.6582480258040702,3.498318387721669,5.314590018630691,0.939666748046875,2,8,16,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,1001,greedy,0.7465792519398626,3.9677626404763617,5.314590018630691,0.0003859996795654297,0,8,16,0.0,0.0,,,,deterministic_greedy
evaluation,communication_mesh_8_3,1001,local_search,1.0,5.314590018630691,5.314590018630691,0.0003931999672204256,0,8,16,0.0,0.0,,,,fixed_local_search_iterations
evaluation,communication_mesh_8_3,1001,random_cut,1.0,5.314590018630691,5.314590018630691,0.0019516944885253906,0,8,16,0.0,0.0,,,64.0,fixed_random_trials
evaluation,communication_mesh_8_3,1001,goemans_williamson,1.0,5.314590018630691,5.314590018630691,0.01565694808959961,0,8,16,0.0,0.0,,,,sdp_rounding
evaluation,communication_mesh_8_3,1001,random_budget_matched,0.7773945089112129,4.131533097597839,5.314590018630691,0.0012252330780029297,0,8,16,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,communication_mesh_8_3,1001,hill_climb_budget_matched,1.0,5.314590018630691,5.314590018630691,0.0005078315734863281,0,8,16,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,404,exact,1.0,10.0,10.0,0.002083301544189453,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,404,qaoa_tuned,0.8777764026784632,8.777764026784633,10.0,0.7948033809661865,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,404,greedy,0.8,8.0,10.0,0.00033354759216308594,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,404,local_search,1.0,10.0,10.0,0.0004848999669775367,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,404,random_cut,0.9,9.0,10.0,0.0018041133880615234,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,404,goemans_williamson,1.0,10.0,10.0,0.016483545303344727,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,404,random_budget_matched,0.9,9.0,10.0,0.0011167526245117188,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,404,hill_climb_budget_matched,1.0,10.0,10.0,0.0004298686981201172,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,505,exact,1.0,10.0,10.0,0.0020668506622314453,0,8,12,0.0,0.0,,,256.0,classical_exact
evaluation,d_regular_8_3,505,qaoa_tuned,0.7940137425151511,7.940137425151511,10.0,0.8579771518707275,2,8,12,0.0,0.0,2.0,40.0,40.0,qaoa_objective_evaluations
evaluation,d_regular_8_3,505,greedy,0.8,8.0,10.0,0.0003235340118408203,0,8,12,0.0,0.0,,,,deterministic_greedy
evaluation,d_regular_8_3,505,local_search,0.8,8.0,10.0,0.0003174000885337591,0,8,12,0.0,0.0,,,,fixed_local_search_iterations
evaluation,d_regular_8_3,505,random_cut,1.0,10.0,10.0,0.0018172264099121094,0,8,12,0.0,0.0,,,64.0,fixed_random_trials
evaluation,d_regular_8_3,505,goemans_williamson,1.0,10.0,10.0,0.01681971549987793,0,8,12,0.0,0.0,,,,sdp_rounding
evaluation,d_regular_8_3,505,random_budget_matched,0.9,9.0,10.0,0.0012149810791015625,0,8,12,0.0,0.0,,,40.0,qaoa_objective_evaluations
