episode,reward,success,runtime_sec,grad_norm
1,0.09,0,0.1844037999981083,0.6259441649328521
2,1.03,1,0.20664619997842237,0.6259441649328521
3,1.3,1,0.1662637999979779,0.45297078435883
4,-0.31000000000000005,0,0.29673669999465346,0.45297078435883
5,0.08999999999999997,0,0.16121300001395866,1.6395693826473372
6,1.19,1,0.2543615999747999,1.6395693826473372
7,1.19,1,0.1643548000138253,0.43455187712225113
8,1.23,1,0.19696339999791235,0.43455187712225113
9,1.27,1,0.08732960000634193,0.2810562011869909
10,0.18999999999999997,0,0.23311109998030588,0.2810562011869909
11,1.3,1,0.10410469997441396,0.10400949660215858
12,1.27,1,0.2508220999734476,0.10400949660215858
13,1.27,1,0.08316720003494993,0.39962284376391033
14,0.99,1,0.22979950002627447,0.39962284376391033
15,-0.31000000000000005,0,0.16400200000498444,0.17390814360210152
16,1.27,1,0.1334400000050664,0.17390814360210152
17,1.26,1,0.14667909999843687,0.46054709538906397
18,1.19,1,0.2529173999791965,0.46054709538906397
19,1.23,1,0.16996040003141388,0.36805063287140016
20,1.19,1,0.2805225999909453,0.36805063287140016
