episode,reward,success,runtime_sec,grad_norm
1,-1.12,0,0.0017207000055350363,1.9981322217381714
2,-0.07000000000000003,0,0.0015521000022999942,0.23530564676248383
3,-0.27,0,0.0021767999860458076,0.3188881548071445
4,0.02999999999999997,0,0.0019631999894045293,0.1560728235033478
5,-0.32,0,0.0016506999963894486,0.43487060841779307
6,1.27,1,0.001228499982971698,1.583538751312984
7,-0.07000000000000003,0,0.0016000999603420496,0.29177633092359434
8,-0.42000000000000004,0,0.0015584999928250909,0.8763467209679826
9,-0.17000000000000004,0,0.001477799960412085,0.20823436559366426
10,-0.42000000000000004,0,0.0014504000428132713,0.8314928611757938
11,-0.37000000000000005,0,0.0019583000103011727,0.5262942068871062
12,1.23,1,0.0016560000367462635,1.5393521009366384
13,0.12999999999999998,0,0.001729200012050569,0.14328371832735937
14,0.13,0,0.0015056999982334673,0.1557478344453309
15,-0.16999999999999998,0,0.001837999967392534,0.1414616846367561
16,0.12999999999999998,0,0.00166969996644184,0.1309004021390828
17,-0.6200000000000001,0,0.0017490999889560044,0.8964239403218891
18,0.02999999999999997,0,0.001525699975900352,0.18245217345828454
19,-0.07000000000000003,0,0.0020082000410184264,0.1628857045604692
20,0.13,0,0.0018982000183314085,0.1577122500531364
