episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.1266059000045061,0.25787888915601753
2,0.23,0,0.18325740000000224,0.25787888915601753
3,-0.07000000000000003,0,0.1265949999797158,0.33817352699197495
4,0.02999999999999997,0,0.18619310000212863,0.33817352699197495
5,1.3,1,0.10619610000867397,0.661209387951609
6,1.3,1,0.15874929999699816,0.661209387951609
7,0.12999999999999998,0,0.12325420003617182,0.2758720479643653
8,1.27,1,0.2548365000402555,0.2758720479643653
9,-0.07000000000000003,0,0.28570009995019063,1.849820363221711
10,-0.37000000000000005,0,0.20045860001118854,1.849820363221711
11,-0.07000000000000003,0,0.14972449996275827,0.47299651064094556
12,1.3,1,0.15900949999922886,0.47299651064094556
13,0.13,0,0.15864549996331334,0.41384104948690753
14,1.27,1,0.16755309997824952,0.41384104948690753
15,0.12999999999999998,0,0.1409616000019014,0.8925007640035573
16,1.03,1,0.21376789995701984,0.8925007640035573
17,0.22999999999999998,0,0.152148200024385,0.9299245912326711
18,1.23,1,0.21653150004567578,0.9299245912326711
19,0.13,0,0.13468790001934394,0.16915050195485812
20,1.3,1,0.18336700001964346,0.16915050195485812
