episode,reward,success,runtime_sec,grad_norm
1,-1.12,0,0.0019484000513330102,1.9981322217381714
2,-0.07000000000000003,0,0.00217929994687438,0.23530564676248383
3,-0.27,0,0.001964900002349168,0.3188881548071445
4,0.02999999999999997,0,0.0019213000196032226,0.1560728235033478
5,-0.32,0,0.0021493000094778836,0.43487060841779307
6,1.27,1,0.0018331999890506268,1.583538751312984
7,-0.07000000000000003,0,0.0018312999745830894,0.29177633092359434
8,-0.42000000000000004,0,0.0018079000292345881,0.8763467209679826
9,-0.17000000000000004,0,0.0018808000022545457,0.20823436559366426
10,-0.42000000000000004,0,0.0019426000071689487,0.8314928611757938
11,-0.37000000000000005,0,0.0018211000133305788,0.5262942068871062
12,1.23,1,0.0019749999628402293,1.5393521009366384
13,0.12999999999999998,0,0.0017860999796539545,0.14328371832735937
14,0.13,0,0.0015684000100009143,0.1557478344453309
15,-0.16999999999999998,0,0.001995600003283471,0.1414616846367561
16,0.12999999999999998,0,0.0020294999703764915,0.1309004021390828
17,-0.6200000000000001,0,0.0016395999700762331,0.8964239403218891
18,0.02999999999999997,0,0.002175999979954213,0.18245217345828454
19,-0.07000000000000003,0,0.0016861999756656587,0.1628857045604692
20,0.13,0,0.0016029999824240804,0.1577122500531364
