episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.31289450003532693,0.2350414054566915
2,0.23,0,0.3217449000221677,0.2350414054566915
3,-0.07000000000000003,0,0.22784489998593926,0.14528800274987794
4,0.02999999999999997,0,0.5839017999824136,0.14528800274987794
5,1.3,1,0.1770136000122875,0.6152347351752923
6,1.3,1,0.2742843999876641,0.6152347351752923
7,0.12999999999999998,0,0.19681120000313967,0.12735616785120862
8,1.27,1,0.4892878999817185,0.12735616785120862
9,-0.07000000000000003,0,0.25817970000207424,0.22864875554375236
10,-0.37000000000000005,0,0.3566988999955356,0.22864875554375236
11,-0.07000000000000003,0,0.21420519996900111,0.43610961852467184
12,1.23,1,0.3649176000035368,0.43610961852467184
13,0.12999999999999998,0,0.2252421000157483,0.3738953714584585
14,-0.17000000000000004,0,0.32583540002815425,0.3738953714584585
15,1.2,1,0.1665692999958992,0.3872245479801582
16,1.3,1,0.29456469998694956,0.3872245479801582
17,1.03,1,0.19667029997799546,0.48241747065989327
18,1.2,1,0.37920510000549257,0.48241747065989327
19,0.13,0,0.20709789998363703,0.0596968736586356
20,1.3,1,0.30863939999835566,0.0596968736586356
