episode,reward,success,runtime_sec,grad_norm
1,0.12999999999999998,0,0.3895390999969095,0.034555329245270515
2,0.13,0,0.31580410001333803,0.034555329245270515
3,1.3,1,0.17332620004890487,0.11954383769662678
4,0.12999999999999998,0,0.5741046000039205,0.11954383769662678
5,1.2,1,0.1882447000243701,0.32321768434691184
6,0.12999999999999998,0,0.34745940001448616,0.32321768434691184
7,0.12999999999999998,0,0.2243948999675922,0.2318330320459417
8,1.27,1,0.2778558999998495,0.2318330320459417
9,1.23,1,0.22733979998156428,0.10598182850455896
10,0.12999999999999998,0,0.33604289998766035,0.10598182850455896
11,1.27,1,0.15278970001963899,0.37907364358179024
12,0.12999999999999998,0,0.33817080000881106,0.37907364358179024
13,0.12999999999999998,0,0.21572869998635724,0.5448937738433097
14,1.03,1,0.39127259998349473,0.5448937738433097
15,0.13,0,0.2212803000002168,0.3969469131057372
16,-0.07000000000000003,0,0.3492936000111513,0.3969469131057372
17,0.23,0,0.22064950002823025,0.18786229334437302
18,0.12999999999999998,0,0.3630511999945156,0.18786229334437302
19,1.23,1,0.21880530001362786,0.047872011131205046
20,0.12999999999999998,0,0.3802974999998696,0.047872011131205046
