episode,reward,success,runtime_sec,grad_norm
1,0.13,0,0.12156950001372024,0.06160939259841664
2,0.23,0,0.19019100000150502,0.06160939259841664
3,1.3,1,0.12248369998997077,0.07684809959635185
4,0.02999999999999997,0,0.28152509999927133,0.07684809959635185
5,1.27,1,0.0996150000137277,0.3797050925030833
6,-0.17000000000000004,0,0.21791399997891858,0.3797050925030833
7,-0.07000000000000003,0,0.13742540002567694,0.26446533819802065
8,1.27,1,0.16340360004687682,0.26446533819802065
9,1.23,1,0.12475050002103671,0.32867812318296774
10,-0.07000000000000003,0,0.1943617999786511,0.32867812318296774
11,1.27,1,0.0853486999985762,0.22037275641759616
12,0.23,0,0.18207839998649433,0.22037275641759616
13,1.23,1,0.13121600000886247,0.35995914010207447
14,1.23,1,0.1820991999702528,0.35995914010207447
15,0.12999999999999998,0,0.12417610001284629,0.16142887928295327
16,1.3,1,0.1468002000474371,0.16142887928295327
17,1.2,1,0.10619680001400411,0.6221146587890837
18,0.12999999999999998,0,0.2944796999800019,0.6221146587890837
19,1.3,1,0.10567489999812096,0.0793029193571914
20,1.23,1,0.2035897999885492,0.0793029193571914
