episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.28139940003165975,0.5474030138639121
2,1.26,1,0.20966400002362207,0.5474030138639121
3,0.18999999999999997,0,0.24484739999752492,0.5474030138639121
4,1.03,1,0.4682985999970697,0.5474030138639121
5,1.19,1,0.32131210004445165,0.39188836194290433
6,1.27,1,0.1407360000303015,0.39188836194290433
7,1.3,1,0.1712734999600798,0.39188836194290433
8,-0.11000000000000004,0,0.49251920002279803,0.39188836194290433
9,-0.21000000000000005,0,0.24663369997870177,0.30536079566162166
10,1.19,1,0.2548620000015944,0.30536079566162166
11,0.18999999999999997,0,0.24717299995245412,0.30536079566162166
12,-0.010000000000000037,0,0.4734401000314392,0.30536079566162166
13,1.3,1,0.15879519999725744,0.2964266587924263
14,1.3,1,0.15646240004571155,0.2964266587924263
15,1.16,1,0.2148183000390418,0.2964266587924263
16,1.19,1,0.5174711000290699,0.2964266587924263
17,1.3,1,0.16362790000857785,0.6786186859890826
18,1.26,1,0.23894480004673824,0.6786186859890826
19,-0.6100000000000001,0,0.245245199999772,0.6786186859890826
20,-0.11000000000000004,0,0.47590560000389814,0.6786186859890826
21,1.27,1,0.13022120000096038,0.32949472528699203
22,0.99,1,0.24055759998736903,0.32949472528699203
23,1.16,1,0.21219280001241714,0.32949472528699203
24,0.08999999999999997,0,0.4599588999990374,0.32949472528699203
25,1.19,1,0.25542429997585714,0.08716033122162486
26,0.99,1,0.240485499962233,0.08716033122162486
27,1.23,1,0.18528480001259595,0.08716033122162486
28,0.99,1,0.46414960001129657,0.08716033122162486
29,1.3,1,0.15394530002959073,0.05525633294224758
30,1.19,1,0.2521847999887541,0.05525633294224758
31,1.26,1,0.21115770004689693,0.05525633294224758
32,1.27,1,0.3846708000055514,0.05525633294224758
33,-0.11000000000000004,0,0.2503691000165418,0.7293439394707234
34,0.19,0,0.24133659998187795,0.7293439394707234
35,-0.11000000000000004,0,0.24173139996128157,0.7293439394707234
36,1.27,1,0.41046510002342984,0.7293439394707234
37,1.23,1,0.1844518999569118,0.14038291240633083
38,1.27,1,0.12780920002842322,0.14038291240633083
39,1.26,1,0.2078839000314474,0.14038291240633083
40,1.27,1,0.37484999996377155,0.14038291240633083
