episode,reward,success,runtime_sec,grad_norm
1,1.19,1,0.15583090001018718,0.7140043583755291
2,1.3,1,0.0998313000309281,0.7140043583755291
3,1.23,1,0.12245740002254024,0.7140043583755291
4,1.26,1,0.23537810001289472,0.7140043583755291
5,0.99,1,0.16250320000108331,0.7073379973491059
6,-0.31000000000000005,0,0.15354410000145435,0.7073379973491059
7,1.26,1,0.13478369999211282,0.7073379973491059
8,1.27,1,0.24001439998392016,0.7073379973491059
9,1.19,1,0.1717509999871254,1.2348732436230836
10,1.27,1,0.08099620003486052,1.2348732436230836
11,1.23,1,0.12429900001734495,1.2348732436230836
12,-0.4100000000000001,0,0.278939799987711,1.2348732436230836
13,1.27,1,0.08330910000950098,0.22096383359845806
14,1.27,1,0.09016360004898161,0.22096383359845806
15,1.27,1,0.08757350000087172,0.22096383359845806
16,1.23,1,0.2111311000189744,0.22096383359845806
17,1.23,1,0.12100429995916784,0.09346607013799468
18,1.3,1,0.10415999998804182,0.09346607013799468
19,1.27,1,0.08892090001609176,0.09346607013799468
20,1.27,1,0.21411169995553792,0.09346607013799468
21,1.27,1,0.08078720001503825,0.3800910074494385
22,1.03,1,0.11782300000777468,0.3800910074494385
23,0.19,0,0.16330789995845407,0.3800910074494385
24,1.3,1,0.2061272999853827,0.3800910074494385
25,1.27,1,0.15544729999965057,2.34963129326947
26,1.26,1,0.14256900001782924,2.34963129326947
27,-0.9100000000000001,0,0.15686019998975098,2.34963129326947
28,1.27,1,0.21041639999020845,2.34963129326947
29,1.27,1,0.08653699996648356,0.830384602425669
30,0.08999999999999997,0,0.16532339999685064,0.830384602425669
31,0.08999999999999997,0,0.16613029997097328,0.830384602425669
32,1.27,1,0.22467799996957183,0.830384602425669
33,0.18999999999999997,0,0.17310890002408996,0.24949117164424245
34,1.3,1,0.10628279997035861,0.24949117164424245
35,1.27,1,0.09120209998218343,0.24949117164424245
36,1.03,1,0.24112939997576177,0.24949117164424245
37,1.23,1,0.12326239998219535,0.7757211116110828
38,0.18999999999999997,0,0.22093160002259538,0.7757211116110828
39,0.08999999999999997,0,0.17293469997821376,0.7757211116110828
40,-0.11000000000000004,0,0.27713860000949353,0.7757211116110828
