episode,reward,success,runtime_sec,grad_norm
1,0.12999999999999998,0,0.3742855999735184,0.042016805598151956
2,0.13,0,0.2871636999770999,0.042016805598151956
3,1.3,1,0.16325300000607967,0.11410356616819364
4,0.12999999999999998,0,0.33828949998132885,0.11410356616819364
5,1.2,1,0.16406280000228435,0.198463002289791
6,0.12999999999999998,0,0.366733499977272,0.198463002289791
7,0.12999999999999998,0,0.29210239998064935,0.22866521609987278
8,1.27,1,0.26847589999670163,0.22866521609987278
9,1.23,1,0.22197839996078983,0.07416317175179256
10,0.12999999999999998,0,0.3495573000400327,0.07416317175179256
11,1.27,1,0.15693609998561442,0.3333995541666623
12,0.12999999999999998,0,0.44963470002403483,0.3333995541666623
13,0.12999999999999998,0,0.21014669997384772,0.38850182457507676
14,1.03,1,0.32424540002830327,0.38850182457507676
15,0.13,0,0.207336799998302,0.26820042840302244
16,-0.07000000000000003,0,0.3035591000225395,0.26820042840302244
17,0.23,0,0.19544430001406,0.19386137131028464
18,0.12999999999999998,0,0.3199601999949664,0.19386137131028464
19,1.23,1,0.1902496000402607,0.07273379094094537
20,0.12999999999999998,0,0.3261414000298828,0.07273379094094537
