episode,reward,success,runtime_sec,grad_norm
1,0.09,0,1.9675152999698184,0.07899282177537457
2,1.03,1,0.17195640003774315,0.07899282177537457
3,1.3,1,0.14478610001970083,0.07899282177537457
4,-0.31000000000000005,0,0.2929560999618843,0.07899282177537457
5,0.08999999999999997,0,0.1766916000051424,0.9625955230786075
6,1.19,1,0.1908013999927789,0.9625955230786075
7,1.23,1,0.14894189999904484,0.9625955230786075
8,1.19,1,0.4191249999566935,0.9625955230786075
9,1.27,1,0.09964700002456084,0.1879618313553411
10,0.19,0,0.17022110003745183,0.1879618313553411
11,1.3,1,0.10827849997440353,0.1879618313553411
12,1.27,1,0.2549546000082046,0.1879618313553411
13,1.27,1,0.10883199999807402,0.1495612166004656
14,0.99,1,0.20567739999387413,0.1495612166004656
15,-0.31000000000000005,0,0.18497859995113686,0.1495612166004656
16,1.27,1,0.24626129999523982,0.1495612166004656
17,1.26,1,0.1637971000163816,0.4039716788066886
18,1.19,1,0.1839888999820687,0.4039716788066886
19,1.23,1,0.22093769995262846,0.4039716788066886
20,1.19,1,0.3143712999881245,0.4039716788066886
21,1.3,1,0.10950820002472028,0.03846381068834134
22,1.03,1,0.1286042999709025,0.03846381068834134
23,1.27,1,0.09513889998197556,0.03846381068834134
24,1.26,1,0.306671800033655,0.03846381068834134
25,1.3,1,0.10714590002316982,0.16446820660662892
26,1.27,1,0.09057800000300631,0.16446820660662892
27,1.03,1,0.1443995000445284,0.16446820660662892
28,0.08999999999999997,0,0.36651480000000447,0.16446820660662892
29,0.99,1,0.16994160000467673,0.4295803644206713
30,0.08999999999999997,0,0.16523949999827892,0.4295803644206713
31,1.19,1,0.17093159997602925,0.4295803644206713
32,0.99,1,0.2744587999768555,0.4295803644206713
33,1.27,1,0.08925339998677373,0.025910905562273902
34,1.3,1,0.10568350000539795,0.025910905562273902
35,1.23,1,0.13154829997802153,0.025910905562273902
36,1.23,1,0.2693895999691449,0.025910905562273902
37,1.27,1,0.09094359999289736,0.19671752232091572
38,1.03,1,0.20707990002119914,0.19671752232091572
39,-0.11000000000000004,0,0.1967144000227563,0.19671752232091572
40,1.3,1,0.25084499997319654,0.19671752232091572
